"","age","gender","occupation","qqm","dsse_1","dsse_2","dsse_3","dsse_4","dsse_5","dsse_6","dsse_7","dsse_8","dsse_9","dsse_10","dsse_11","dsse_12","dsse_13","dsse_14","dsse_15","dsse_16","dsse_17","dsse_18","dsse_19","dsse_20","dsse_21","dsse_22","dsse_23","dsse_24","dsse_25","sise","open"
"134",20,"2","1",NA,5,4,4,4,2,5,2,4,1,4,5,4,5,2,3,4,5,4,5,5,5,5,2,5,5,4,4
"135",23,"1","2","2",4,4,5,3,2,4,2,3,2,2,4,1,4,3,4,4,5,2,4,4,4,5,5,5,2,3,3
"136",25,"1","2","2",2,2,5,2,1,1,1,1,1,1,2,4,3,3,4,4,3,2,1,4,1,4,1,4,2,3,3
"137",50,"1","2","2",4,4,4,4,3,5,3,2,2,2,2,2,3,5,4,5,3,3,3,4,3,5,4,4,4,3,3
"138",41,"2","3","2",5,5,3,4,3,5,4,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,1,1
"139",32,"2","4","2",4,4,2,3,2,4,2,3,4,3,2,2,3,4,3,4,5,2,5,4,4,4,3,4,3,2,2
"140",19,"3","1","2",5,4,4,5,1,4,3,3,2,4,4,2,4,4,4,4,5,3,5,5,5,5,4,4,4,3,3
"141",19,"1","1","2",5,3,4,3,1,5,3,1,1,4,4,4,4,4,3,4,5,2,4,4,5,4,4,5,4,4,4
"142",53,"1","2","2",4,4,5,3,2,4,2,3,1,2,3,4,3,4,3,4,4,1,4,4,4,4,2,4,2,4,4
"143",21,"2","1","2",4,4,4,4,2,4,3,4,1,4,4,4,5,4,4,4,4,3,4,4,2,3,2,4,3,3,3
"144",21,"1","1","2",4,1,4,3,1,4,1,1,1,2,1,1,3,5,5,5,4,1,4,4,2,4,1,4,4,3,3
"145",20,"2","1","2",4,2,5,4,2,4,2,3,2,2,2,2,4,4,4,4,4,3,3,4,2,4,5,5,5,3,3
"146",19,"2","1","2",4,5,1,4,2,2,4,4,2,4,4,4,4,3,4,3,2,5,5,4,4,3,3,5,4,1,1
"147",19,"2","1","2",5,4,2,2,3,5,4,5,1,2,5,5,2,4,5,4,2,1,5,4,5,5,2,1,5,4,4
"148",78,"2","6","2",4,4,4,3,3,3,3,3,4,1,4,3,4,4,4,4,4,3,3,3,3,4,4,3,4,3,3
"149",32,"1","2","2",4,4,3,2,2,4,2,2,2,2,2,4,3,3,3,4,4,3,4,3,3,4,4,5,2,3,3
"150",51,"2","2","2",2,3,2,3,3,5,3,3,5,4,4,5,4,5,4,5,5,3,4,4,3,5,5,4,4,2,2
"151",38,"2","2","2",4,4,4,3,2,4,2,3,2,2,3,3,3,4,3,5,4,1,4,2,2,2,2,4,4,4,4
"152",41,"2","2","2",4,4,4,4,3,4,3,3,3,3,4,4,5,4,4,5,4,3,3,3,2,3,3,4,3,3,3
